Produkt,Preis_Euro,Marke,Bild_URL,Produkt_URL,Bewertung,Anzahl_Bewertungen
Apple MacBook Pro,7051.13,Apple,"['https://i.otto.de/i/otto/a92ebd6a-0996-5df7-9c09-f09f0093aa41/apple-macbook-pro-cto-16-notebook-4105-cm-162-zoll-apple-m5-max-40-core-gpu-64-gb-4000-gb-ssd-silber.jpg?$formatz$', 'https://i.otto.de/i/otto/7f3b0e56-b67d-500e-b911-21e1b6f1dcdb/apple-macbook-pro-cto-16-notebook-4105-cm-162-zoll-apple-m5-max-40-core-gpu-64-gb-4000-gb-ssd-silber.jpg?$formatz$', 'https://i.otto.de/i/otto/2838f00f-de0c-5bcf-8461-0108691a8865/apple-macbook-pro-cto-16-notebook-4105-cm-162-zoll-apple-m5-max-40-core-gpu-64-gb-4000-gb-ssd-silber.jpg?$formatz$', 'https://i.otto.de/i/otto/f0b9af16-ba42-54f4-babd-3c24fe38d2c2/apple-macbook-pro-cto-16-notebook-4105-cm-162-zoll-apple-m5-max-40-core-gpu-64-gb-4000-gb-ssd-silber.jpg?$formatz$', 'https://i.otto.de/i/otto/bcfe8afa-48a1-57a0-83a9-352275d8281a/apple-macbook-pro-cto-16-notebook-4105-cm-162-zoll-apple-m5-max-40-core-gpu-64-gb-4000-gb-ssd-silber.jpg?$formatz$', 'https://i.otto.de/i/otto/f9575200-1fe0-5b06-b0d4-71f673783c46/apple-macbook-pro-cto-16-notebook-4105-cm-162-zoll-apple-m5-max-40-core-gpu-64-gb-4000-gb-ssd-silber.jpg?$formatz$']",,0.0,0
Sportsocken 10 Paar,19.99,sockenkauf24,https://i.otto.de/i/otto/72ef8def-7ee6-4bc7-b629-fec361b0f09c?$responsive_ft2$,https://www.otto.de/p/sockenkauf24-sportsocken-10-paar-kurze-tennissocken-quarter-sportsocken-herren-damen-baumwolle-10-paar-verstaerkte-ferse-fussspitze-gepolsterte-sohle-atmungsaktiv-S0NGK083/?variationId=S0NGK0830IDB,4.5,72
Sneakersocken Premium,19.99,sockenkauf24,https://i.otto.de/i/otto/e1237593-12c1-4f36-851e-089ed46bcda6?$responsive_ft2$,https://www.otto.de/p/sockenkauf24-sneakersocken-premium-sneaker-socken-herren-damen-mit-komfortbund-ohne-gummidruck-grau-anthrazit-10-paar-43-46-atmungsaktive-gekaemmte-baumwolle-ohne-naht-exclusive-line-S0L7B02E/?variationId=S0L7B02E2R0E,4.5,432
Shirtracer T-Shirt,16.9,Shirtracer,"['https://i.otto.de/i/otto/11ded130-4a94-55a4-83df-ac32a9d70028/shirtracer-t-shirt-ich-hor-dich-nicht-ich-zocke-headset-glitch-weiss-grun-1-tlg-kinderkleidung-und-co-1-schwarz.jpg?$formatz$', 'https://i.otto.de/i/otto/2b5c6a95-7429-5648-9d03-67a54534643e/shirtracer-t-shirt-ich-hor-dich-nicht-ich-zocke-headset-glitch-weiss-grun-1-tlg-kinderkleidung-und-co-1-schwarz.jpg?$formatz$', 'https://i.otto.de/i/otto/00e733f3-a174-581f-9c51-11b934de6437/shirtracer-t-shirt-ich-hor-dich-nicht-ich-zocke-headset-glitch-weiss-grun-1-tlg-kinderkleidung-und-co-1-schwarz.jpg?$formatz$', 'https://i.otto.de/i/otto/e4c7d45e-03f6-5ad9-b159-9f9d321f22b3/shirtracer-t-shirt-ich-hor-dich-nicht-ich-zocke-headset-glitch-weiss-grun-1-tlg-kinderkleidung-und-co-1-schwarz.jpg?$formatz$']",,5.0,2
Spielfigur Skibidi Toilet,79.99,BOTI,"['https://i.otto.de/i/otto/e7417bfd-d577-586a-a7a5-1109a1ad59c8/boti-spielfigur-skibidi-toilet-mystery-toilet-neu-ovp.jpg?$formatz$', 'https://i.otto.de/i/otto/81492a31-0f7a-587a-a007-628b78a44430/boti-spielfigur-skibidi-toilet-mystery-toilet-neu-ovp.jpg?$formatz$', 'https://i.otto.de/i/otto/713954f3-e5ab-59ad-8d25-be57d96682ec/boti-spielfigur-skibidi-toilet-mystery-toilet-neu-ovp.jpg?$formatz$', 'https://i.otto.de/i/otto/29455058-da36-551e-8164-54e4303edc52/boti-spielfigur-skibidi-toilet-mystery-toilet-neu-ovp.jpg?$formatz$']",,0.0,0
OTTO home Spannbettlaken,9.99,OTTO home,"['https://i.otto.de/i/otto/dc0e9d95-aa9c-52b9-8015-868f9928a98b/otto-home-spannbettlaken-physalis-basic-und-premium-qualitat-100-baumwolle-jersey-und-biber-jersey-110-g-m-gummizug-rundum-1-stuck-bettlaken-fur-matratzen-bis-18-cm-hohe-spannbetttuch-laken-seegrun.jpg?$formatz$', 'https://i.otto.de/i/otto/0a5a1038-fdf8-5ca5-b548-636355d1b89e/otto-home-spannbettlaken-physalis-basic-und-premium-qualitat-100-baumwolle-jersey-und-biber-jersey-110-g-m-gummizug-rundum-1-stuck-bettlaken-fur-matratzen-bis-18-cm-hohe-spannbetttuch-laken-seegrun.jpg?$formatz$', 'https://i.otto.de/i/otto/aab4b7b1-f3cc-578e-9cab-093445ca4959/otto-home-spannbettlaken-physalis-basic-und-premium-qualitat-100-baumwolle-jersey-und-biber-jersey-110-g-m-gummizug-rundum-1-stuck-bettlaken-fur-matratzen-bis-18-cm-hohe-spannbetttuch-laken-seegrun.jpg?$formatz$', 'https://i.otto.de/i/otto/60952398-2b7c-5733-b67d-c9942e3e1db8/otto-home-spannbettlaken-physalis-basic-und-premium-qualitat-100-baumwolle-jersey-und-biber-jersey-110-g-m-gummizug-rundum-1-stuck-bettlaken-fur-matratzen-bis-18-cm-hohe-spannbetttuch-laken-seegrun.jpg?$formatz$', 'https://i.otto.de/i/otto/4368d441-553f-5ce9-a1bc-5fc611e858dc/otto-home-spannbettlaken-physalis-basic-und-premium-qualitat-100-baumwolle-jersey-und-biber-jersey-110-g-m-gummizug-rundum-1-stuck-bettlaken-fur-matratzen-bis-18-cm-hohe-spannbetttuch-laken-seegrun.jpg?$formatz$', 'https://i.otto.de/i/otto/4f8e77bf-64c4-51a6-b34d-474c5d5af204/otto-home-spannbettlaken-physalis-basic-und-premium-qualitat-100-baumwolle-jersey-und-biber-jersey-110-g-m-gummizug-rundum-1-stuck-bettlaken-fur-matratzen-bis-18-cm-hohe-spannbetttuch-laken-seegrun.jpg?$formatz$']",,4.5,50063
Otto Office Budget Kugelschreiber,0.29,Otto Office Budget,"['https://i.otto.de/i/otto/600a5995-2fd5-5e90-bfaf-8edd8583b547/otto-office-budget-kugelschreiber-eco-stick-strichstarke-06-mm-rot.jpg?$formatz$', 'https://i.otto.de/i/otto/88e4689d-d936-513e-b131-e8b5ae34ce8a/otto-office-budget-kugelschreiber-eco-stick-strichstarke-06-mm-rot.jpg?$formatz$', 'https://i.otto.de/i/otto/78a4b770-edae-5cd2-bcc8-3eae73430d20/otto-office-budget-kugelschreiber-eco-stick-strichstarke-06-mm-rot.jpg?$formatz$']",,5.0,14
Carpet Avenue Teppich,273900.0,Carpet Avenue,"['https://i.otto.de/i/otto/3ce4d46b-59ae-5d45-a89f-6f81b736110a/carpet-avenue-teppich-ghom-seide-zabihi-509x344-rechteck-hohe-6-mm.jpg?$formatz$', 'https://i.otto.de/i/otto/817b2525-4de9-5fb1-9432-7e1c1b7e52e2/carpet-avenue-teppich-ghom-seide-zabihi-509x344-rechteck-hohe-6-mm.jpg?$formatz$', 'https://i.otto.de/i/otto/b105c8f3-23e5-5c94-913f-b8cf6e9d52cb/carpet-avenue-teppich-ghom-seide-zabihi-509x344-rechteck-hohe-6-mm.jpg?$formatz$', 'https://i.otto.de/i/otto/9ee57dd4-2be1-5e18-b91e-7c7baaee1245/carpet-avenue-teppich-ghom-seide-zabihi-509x344-rechteck-hohe-6-mm.jpg?$formatz$', 'https://i.otto.de/i/otto/b2dd9ecb-b33c-5a62-a5fa-6cc5d5bf6d12/carpet-avenue-teppich-ghom-seide-zabihi-509x344-rechteck-hohe-6-mm.jpg?$formatz$', 'https://i.otto.de/i/otto/91fbc90a-9017-5bf2-9a65-60d1e8e5e818/carpet-avenue-teppich-ghom-seide-zabihi-509x344-rechteck-hohe-6-mm.jpg?$formatz$', 'https://i.otto.de/i/otto/999ea2d2-dcb6-5eca-afaf-0262798403f1/carpet-avenue-teppich-ghom-seide-zabihi-509x344-rechteck-hohe-6-mm.jpg?$formatz$', 'https://i.otto.de/i/otto/ab4e29cc-bd34-5890-8ef9-c73bb08f985d/carpet-avenue-teppich-ghom-seide-zabihi-509x344-rechteck-hohe-6-mm.jpg?$formatz$']",,0.0,0
Tischtennisplatte Outdoor,674.95,Gewo,"['https://i.otto.de/i/otto/9c412b1f-c845-578e-b8bb-31c40d1c8e2f/gewo-tischtennisplatte-outdoor-profi-awr-tischtennistisch-klappbar-grau-1-tlg.jpg?$formatz$', 'https://i.otto.de/i/otto/3333962d-bf63-55a7-bcc3-1975fcef7e4a/gewo-tischtennisplatte-outdoor-profi-awr-tischtennistisch-klappbar-grau-1-tlg.jpg?$formatz$', 'https://i.otto.de/i/otto/ad8d5623-64e3-53df-842a-2582a46189f4/gewo-tischtennisplatte-outdoor-profi-awr-tischtennistisch-klappbar-grau-1-tlg.jpg?$formatz$', 'https://i.otto.de/i/otto/10244224-2d72-5101-bc11-a6612fad7ee1/gewo-tischtennisplatte-outdoor-profi-awr-tischtennistisch-klappbar-grau-1-tlg.jpg?$formatz$']",,0.0,0
Kostüm aufblasbarer T-Rex,140.29,Rubie´s,"['https://i.otto.de/i/otto/c6a56bf8-6e59-5d3a-b25d-3e0735c277ce/rubie-s-kostum-jurassic-park-aufblasbarer-t-rex-bekannt-aus-vielen-youtube-videos-original-dino-kostum-mit-geblase.jpg?$formatz$', 'https://i.otto.de/i/otto/7b6a70a6-868e-5652-bed0-9ebf2c07b1d7/rubie-s-kostum-jurassic-park-aufblasbarer-t-rex-bekannt-aus-vielen-youtube-videos-original-dino-kostum-mit-geblase.jpg?$formatz$']",,2.0,1
